epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
99,37694.9,0.08425,0.16124,0.01061,0.99888,0.99856,0.99484,0.98848,0.0505,0.12971,0.00892,5.149e-05,5.149e-05,5.149e-05
100,38077.1,0.0831,0.1591,0.01043,0.99887,0.9986,0.99486,0.98853,0.05055,0.13277,0.00896,5.0995e-05,5.0995e-05,5.0995e-05
101,38457,0.0807,0.15536,0.0101,0.99888,0.9986,0.99486,0.98855,0.05046,0.13411,0.00897,5.05e-05,5.05e-05,5.05e-05
102,38837.1,0.07938,0.15383,0.00998,0.99884,0.99867,0.99487,0.98859,0.05033,0.13182,0.00894,5.0005e-05,5.0005e-05,5.0005e-05
103,39216.2,0.08002,0.15511,0.01001,0.99882,0.9987,0.99488,0.98861,0.05015,0.12964,0.00891,4.951e-05,4.951e-05,4.951e-05
104,39595.4,0.07968,0.15501,0.00992,0.99882,0.9987,0.99487,0.98862,0.0501,0.12828,0.0089,4.9015e-05,4.9015e-05,4.9015e-05
105,39976.3,0.0801,0.15447,0.00997,0.99883,0.99871,0.99487,0.98903,0.04994,0.12666,0.00886,4.852e-05,4.852e-05,4.852e-05
106,40356.8,0.07912,0.15338,0.00982,0.99879,0.99874,0.99485,0.98904,0.04984,0.12497,0.00884,4.8025e-05,4.8025e-05,4.8025e-05
107,40738,0.0773,0.15086,0.00957,0.99883,0.99871,0.99486,0.98909,0.04952,0.12401,0.00879,4.753e-05,4.753e-05,4.753e-05
108,41118.4,0.0781,0.1514,0.00962,0.99882,0.99872,0.99485,0.9895,0.04931,0.12347,0.00875,4.7035e-05,4.7035e-05,4.7035e-05
109,41498.3,0.0786,0.15322,0.00987,0.99882,0.99873,0.99486,0.98953,0.0492,0.12208,0.00871,4.654e-05,4.654e-05,4.654e-05
110,41877.7,0.08036,0.15561,0.01005,0.9988,0.99872,0.99485,0.98953,0.04915,0.12175,0.0087,4.6045e-05,4.6045e-05,4.6045e-05
111,42257,0.07967,0.15442,0.01003,0.99875,0.99876,0.99487,0.98956,0.04903,0.121,0.00868,4.555e-05,4.555e-05,4.555e-05
112,42636.5,0.07907,0.15303,0.01008,0.99871,0.99877,0.99488,0.98959,0.04893,0.12053,0.00868,4.5055e-05,4.5055e-05,4.5055e-05
113,43017.1,0.07796,0.15213,0.00972,0.99873,0.99876,0.99487,0.9896,0.04891,0.12038,0.00867,4.456e-05,4.456e-05,4.456e-05
114,43397.8,0.07833,0.15272,0.00972,0.99877,0.99872,0.99488,0.98961,0.04889,0.12023,0.00867,4.4065e-05,4.4065e-05,4.4065e-05
115,43776,0.07749,0.15166,0.00976,0.99877,0.99867,0.99488,0.98962,0.0488,0.11997,0.00865,4.357e-05,4.357e-05,4.357e-05
116,44155.8,0.07858,0.15292,0.00992,0.99872,0.99869,0.9949,0.98965,0.04874,0.11947,0.00863,4.3075e-05,4.3075e-05,4.3075e-05
117,44536.5,0.07753,0.15173,0.00974,0.99878,0.99868,0.99491,0.98968,0.04864,0.11929,0.00862,4.258e-05,4.258e-05,4.258e-05
118,44915.8,0.07695,0.15095,0.00968,0.99868,0.99875,0.99491,0.98969,0.04857,0.11885,0.00861,4.2085e-05,4.2085e-05,4.2085e-05
119,45294.6,0.07549,0.14845,0.00941,0.99868,0.99876,0.99491,0.9897,0.04846,0.11858,0.00858,4.159e-05,4.159e-05,4.159e-05
120,45674.5,0.07539,0.14944,0.00947,0.99869,0.99877,0.99491,0.98971,0.04839,0.11797,0.00856,4.1095e-05,4.1095e-05,4.1095e-05
121,46053.1,0.07412,0.14673,0.00933,0.99871,0.99878,0.99492,0.98972,0.04836,0.11734,0.00854,4.06e-05,4.06e-05,4.06e-05
122,46431.6,0.07575,0.14839,0.00952,0.99867,0.99876,0.99492,0.98973,0.04828,0.11702,0.00852,4.0105e-05,4.0105e-05,4.0105e-05
123,46812.4,0.07544,0.1489,0.00929,0.99867,0.99879,0.99491,0.98974,0.04816,0.11634,0.0085,3.961e-05,3.961e-05,3.961e-05
124,47192.2,0.07457,0.14751,0.00922,0.99866,0.9988,0.99492,0.98976,0.04809,0.11615,0.00848,3.9115e-05,3.9115e-05,3.9115e-05
125,47571.4,0.07324,0.1457,0.00896,0.99868,0.99879,0.99492,0.99005,0.04801,0.11577,0.00846,3.862e-05,3.862e-05,3.862e-05
126,47951.6,0.07277,0.14463,0.00891,0.99887,0.99857,0.99492,0.99017,0.04794,0.11536,0.00845,3.8125e-05,3.8125e-05,3.8125e-05
127,48332,0.07285,0.14526,0.00891,0.99884,0.99858,0.99492,0.99017,0.04786,0.11498,0.00843,3.763e-05,3.763e-05,3.763e-05
128,48711.6,0.0728,0.1447,0.00912,0.99876,0.99867,0.99492,0.99019,0.04779,0.11473,0.00843,3.7135e-05,3.7135e-05,3.7135e-05
129,49090.7,0.0734,0.14581,0.00906,0.99867,0.99878,0.99492,0.9902,0.04768,0.1146,0.0084,3.664e-05,3.664e-05,3.664e-05
130,49472.6,0.07275,0.1444,0.00909,0.99878,0.99861,0.99492,0.99021,0.04757,0.11442,0.00838,3.6145e-05,3.6145e-05,3.6145e-05
131,49852.5,0.0726,0.14548,0.00886,0.99873,0.99872,0.99492,0.99021,0.04748,0.11412,0.00836,3.565e-05,3.565e-05,3.565e-05
132,50232.2,0.07332,0.14599,0.00911,0.99874,0.99874,0.99493,0.99023,0.04742,0.11387,0.00834,3.5155e-05,3.5155e-05,3.5155e-05
133,50612.6,0.07324,0.14582,0.00892,0.99874,0.99873,0.99492,0.99023,0.04736,0.11377,0.00833,3.466e-05,3.466e-05,3.466e-05
134,50993.9,0.07311,0.1454,0.00886,0.99873,0.99871,0.99492,0.99024,0.04725,0.1135,0.00831,3.4165e-05,3.4165e-05,3.4165e-05
135,51372.8,0.07122,0.1422,0.00885,0.99881,0.99862,0.99493,0.99026,0.04719,0.11327,0.0083,3.367e-05,3.367e-05,3.367e-05
136,51750.1,0.07168,0.14322,0.00895,0.99875,0.99872,0.99493,0.99026,0.0471,0.11317,0.00826,3.3175e-05,3.3175e-05,3.3175e-05
137,52130.5,0.07051,0.14111,0.0087,0.99874,0.99875,0.99492,0.99026,0.04705,0.11297,0.00826,3.268e-05,3.268e-05,3.268e-05
138,52510.7,0.07166,0.14357,0.00882,0.99877,0.99872,0.99493,0.99027,0.04695,0.11273,0.00823,3.2185e-05,3.2185e-05,3.2185e-05
139,52892.8,0.07072,0.14148,0.00869,0.99876,0.99875,0.99493,0.99027,0.0469,0.1125,0.00822,3.169e-05,3.169e-05,3.169e-05
140,53271.5,0.0705,0.14077,0.00873,0.99877,0.99873,0.99493,0.99029,0.04683,0.11241,0.00821,3.1195e-05,3.1195e-05,3.1195e-05
141,53649.5,0.06929,0.13967,0.00859,0.99871,0.99876,0.99493,0.99029,0.04677,0.1123,0.00819,3.07e-05,3.07e-05,3.07e-05
142,54027.6,0.06913,0.13873,0.00854,0.99879,0.99872,0.99493,0.9903,0.04671,0.11205,0.00818,3.0205e-05,3.0205e-05,3.0205e-05
143,54408,0.06881,0.13872,0.00853,0.99877,0.99872,0.99493,0.99031,0.04664,0.11193,0.00817,2.971e-05,2.971e-05,2.971e-05
144,54788.1,0.06918,0.13897,0.00855,0.99877,0.99872,0.99493,0.99031,0.04658,0.11168,0.00816,2.9215e-05,2.9215e-05,2.9215e-05
145,55168.5,0.06792,0.13779,0.00836,0.99877,0.99872,0.99493,0.99031,0.0465,0.11145,0.00814,2.872e-05,2.872e-05,2.872e-05
146,55550.3,0.06905,0.13912,0.00838,0.99877,0.99872,0.99493,0.99032,0.04642,0.11127,0.00813,2.8225e-05,2.8225e-05,2.8225e-05
147,55930.2,0.06871,0.1386,0.00841,0.99877,0.99871,0.99493,0.99033,0.04636,0.1111,0.00812,2.773e-05,2.773e-05,2.773e-05
148,56310.3,0.06823,0.13781,0.00838,0.99877,0.99871,0.99493,0.99034,0.0463,0.11098,0.0081,2.7235e-05,2.7235e-05,2.7235e-05
149,56689.5,0.06826,0.13781,0.00854,0.99877,0.99873,0.99493,0.99035,0.04623,0.1108,0.00809,2.674e-05,2.674e-05,2.674e-05
150,57069,0.06689,0.1363,0.00817,0.99876,0.99872,0.99493,0.99036,0.04615,0.11063,0.00807,2.6245e-05,2.6245e-05,2.6245e-05
151,57448.6,0.06742,0.13653,0.00831,0.99878,0.9987,0.99493,0.99037,0.0461,0.11045,0.00806,2.575e-05,2.575e-05,2.575e-05
152,57828,0.0667,0.13578,0.00812,0.99876,0.9987,0.99492,0.99037,0.04605,0.1103,0.00805,2.5255e-05,2.5255e-05,2.5255e-05
153,58207.2,0.06695,0.13615,0.00825,0.99878,0.9987,0.99493,0.99039,0.04596,0.11019,0.00803,2.476e-05,2.476e-05,2.476e-05
154,58586.3,0.06597,0.13508,0.00801,0.99876,0.99874,0.99494,0.9904,0.04588,0.11004,0.00802,2.4265e-05,2.4265e-05,2.4265e-05
155,58966.2,0.0669,0.13588,0.00822,0.99876,0.99875,0.99493,0.9904,0.0458,0.10988,0.008,2.377e-05,2.377e-05,2.377e-05
156,59346.8,0.06605,0.13491,0.00806,0.99878,0.9987,0.99494,0.99041,0.04576,0.10981,0.00799,2.3275e-05,2.3275e-05,2.3275e-05
157,59728.2,0.06588,0.13415,0.0079,0.99875,0.99871,0.99494,0.99042,0.0457,0.10975,0.00798,2.278e-05,2.278e-05,2.278e-05
158,60108.6,0.06563,0.13372,0.00804,0.99877,0.99874,0.99493,0.99043,0.04564,0.10967,0.00797,2.2285e-05,2.2285e-05,2.2285e-05
159,60488.1,0.0651,0.1336,0.00794,0.99875,0.99877,0.99494,0.99043,0.04558,0.10958,0.00796,2.179e-05,2.179e-05,2.179e-05
160,60867.9,0.06599,0.13502,0.00809,0.99876,0.99876,0.99494,0.99044,0.04551,0.10945,0.00794,2.1295e-05,2.1295e-05,2.1295e-05
161,61247.8,0.06467,0.13276,0.00795,0.99877,0.99876,0.99494,0.99045,0.04546,0.10934,0.00793,2.08e-05,2.08e-05,2.08e-05
162,61628.4,0.06406,0.13257,0.00776,0.99876,0.99876,0.99494,0.99083,0.0454,0.10927,0.00792,2.0305e-05,2.0305e-05,2.0305e-05
163,62007.8,0.0649,0.13323,0.00792,0.99878,0.99873,0.99494,0.99084,0.04534,0.10916,0.00791,1.981e-05,1.981e-05,1.981e-05
164,62387.8,0.06424,0.13192,0.0079,0.99876,0.99877,0.99493,0.99084,0.04527,0.10905,0.0079,1.9315e-05,1.9315e-05,1.9315e-05
165,62766.5,0.06439,0.13214,0.00803,0.99878,0.99875,0.99494,0.99086,0.04521,0.1089,0.00788,1.882e-05,1.882e-05,1.882e-05
166,63147.3,0.06451,0.13282,0.00786,0.99878,0.99875,0.99494,0.99087,0.04517,0.10862,0.00789,1.8325e-05,1.8325e-05,1.8325e-05
167,63527.6,0.06375,0.13114,0.00775,0.99874,0.99879,0.99494,0.99087,0.04511,0.10844,0.00788,1.783e-05,1.783e-05,1.783e-05
168,63908,0.064,0.13169,0.00774,0.99879,0.99875,0.99494,0.99088,0.04504,0.10831,0.00787,1.7335e-05,1.7335e-05,1.7335e-05
169,64288.1,0.06315,0.13055,0.00771,0.99878,0.99875,0.99493,0.99088,0.04498,0.10817,0.00786,1.684e-05,1.684e-05,1.684e-05
170,64668.5,0.0629,0.12985,0.00766,0.99879,0.99873,0.99494,0.99089,0.0449,0.10811,0.00783,1.6345e-05,1.6345e-05,1.6345e-05
