epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,10315.3,0.30592,0.20425,0.79688,0.99849,0.99845,0.99448,0.98682,0.19304,0.15348,0.7559,0.0023275,0.0023275,0.0023275
157,10382.3,0.30494,0.20367,0.79608,0.99848,0.99845,0.99448,0.98685,0.1928,0.15346,0.75587,0.002278,0.002278,0.002278
158,10447.6,0.30541,0.20359,0.79687,0.99848,0.99845,0.99447,0.9869,0.19264,0.15342,0.75584,0.0022285,0.0022285,0.0022285
159,10513.1,0.30307,0.20277,0.79677,0.99848,0.99845,0.99447,0.9869,0.19241,0.15348,0.75581,0.002179,0.002179,0.002179
160,10578.5,0.306,0.20352,0.79741,0.9985,0.99845,0.99447,0.98705,0.19228,0.15351,0.75578,0.0021295,0.0021295,0.0021295
161,10643.8,0.30191,0.20152,0.79711,0.99851,0.99844,0.99448,0.98701,0.19222,0.15359,0.75576,0.00208,0.00208,0.00208
162,10708.8,0.29928,0.20101,0.79571,0.99851,0.99844,0.99448,0.9871,0.19211,0.15373,0.75574,0.0020305,0.0020305,0.0020305
163,10773.6,0.3018,0.20216,0.79683,0.99851,0.99843,0.99448,0.98713,0.19191,0.15376,0.75571,0.001981,0.001981,0.001981
164,10839.6,0.29974,0.20116,0.79639,0.99851,0.99844,0.99447,0.98715,0.19191,0.15385,0.75569,0.0019315,0.0019315,0.0019315
165,10905.1,0.29762,0.20011,0.79626,0.99849,0.99847,0.99448,0.98711,0.19183,0.15389,0.7557,0.001882,0.001882,0.001882
166,10970.8,0.29727,0.20003,0.79617,0.99849,0.99847,0.99448,0.98714,0.19186,0.15405,0.7557,0.0018325,0.0018325,0.0018325
167,11037.2,0.29485,0.19968,0.79541,0.99849,0.99848,0.99448,0.98714,0.19181,0.15415,0.75569,0.001783,0.001783,0.001783
168,11103.1,0.29634,0.20003,0.79569,0.99848,0.99849,0.99448,0.98714,0.19173,0.15425,0.75569,0.0017335,0.0017335,0.0017335
169,11169.6,0.29452,0.19942,0.7958,0.99849,0.99849,0.99448,0.98717,0.19146,0.15419,0.75565,0.001684,0.001684,0.001684
170,11235.7,0.29226,0.19809,0.79524,0.9985,0.99848,0.99448,0.9873,0.1913,0.15418,0.75563,0.0016345,0.0016345,0.0016345
171,11302.1,0.29106,0.19741,0.79432,0.99849,0.99848,0.99447,0.9873,0.19121,0.15422,0.75562,0.001585,0.001585,0.001585
172,11368.8,0.29068,0.19664,0.79458,0.99849,0.99849,0.99448,0.98732,0.19117,0.1543,0.75561,0.0015355,0.0015355,0.0015355
173,11435.2,0.28951,0.19635,0.79484,0.9985,0.99853,0.99448,0.98734,0.19121,0.15447,0.75558,0.001486,0.001486,0.001486
174,11501.4,0.28955,0.19629,0.79489,0.99851,0.99851,0.99448,0.98738,0.19099,0.1545,0.75555,0.0014365,0.0014365,0.0014365
175,11567.3,0.28718,0.1954,0.79486,0.9985,0.99852,0.99448,0.9874,0.19092,0.15452,0.75554,0.001387,0.001387,0.001387
176,11633.4,0.28837,0.19575,0.79486,0.99851,0.99851,0.99448,0.9874,0.19096,0.15463,0.75555,0.0013375,0.0013375,0.0013375
177,11699.2,0.28625,0.1949,0.79426,0.99851,0.99853,0.99449,0.98739,0.19101,0.15474,0.75556,0.001288,0.001288,0.001288
178,11764.7,0.28597,0.19497,0.7937,0.99851,0.99853,0.99449,0.98739,0.19115,0.15493,0.75559,0.0012385,0.0012385,0.0012385
179,11830.8,0.28411,0.19405,0.79421,0.99851,0.99853,0.99449,0.98743,0.19104,0.15492,0.75555,0.001189,0.001189,0.001189
180,11897.6,0.28245,0.19376,0.79404,0.99851,0.99853,0.99449,0.98744,0.19098,0.15501,0.75555,0.0011395,0.0011395,0.0011395
181,11963.9,0.28376,0.19421,0.79448,0.9985,0.99853,0.99449,0.98746,0.19088,0.15504,0.75553,0.00109,0.00109,0.00109
182,12030.1,0.28316,0.19336,0.79404,0.9985,0.99855,0.99449,0.98746,0.19083,0.15493,0.75555,0.0010405,0.0010405,0.0010405
183,12096.6,0.27994,0.19206,0.79349,0.9985,0.99854,0.99449,0.98748,0.19083,0.15505,0.75555,0.000991,0.000991,0.000991
184,12162.3,0.27854,0.19174,0.79326,0.9985,0.99854,0.99449,0.98754,0.19057,0.15487,0.75549,0.0009415,0.0009415,0.0009415
