epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,2738.8,0.63844,0.38855,0.81276,0.94213,0.90559,0.94551,0.81819,0.4826,0.33934,0.79737,0.0087031,0.0087031,0.0087031
133,2759.5,0.64725,0.38837,0.81214,0.93922,0.90451,0.94422,0.81862,0.47898,0.33896,0.79655,0.0086932,0.0086932,0.0086932
134,2779.72,0.639,0.38732,0.8117,0.93962,0.90425,0.94369,0.81737,0.48352,0.34104,0.79733,0.0086833,0.0086833,0.0086833
135,2800.04,0.64032,0.38422,0.81128,0.94136,0.90444,0.94404,0.81757,0.47964,0.33869,0.79692,0.0086734,0.0086734,0.0086734
136,2821.06,0.6317,0.38773,0.81153,0.94219,0.90349,0.94436,0.8174,0.48179,0.33951,0.79766,0.0086635,0.0086635,0.0086635
137,2841.85,0.64175,0.38758,0.81285,0.94304,0.90432,0.94454,0.81951,0.47588,0.33596,0.79636,0.0086536,0.0086536,0.0086536
138,2862.1,0.64039,0.38819,0.81129,0.94573,0.90374,0.94545,0.81955,0.48006,0.33722,0.79663,0.0086437,0.0086437,0.0086437
139,2882.33,0.63846,0.38768,0.81117,0.94522,0.90349,0.94497,0.81875,0.47674,0.33708,0.79601,0.0086338,0.0086338,0.0086338
140,2904.12,0.63433,0.38617,0.81078,0.94373,0.90292,0.94526,0.81949,0.47611,0.33578,0.79596,0.0086239,0.0086239,0.0086239
141,2925.46,0.63456,0.38889,0.81178,0.93991,0.90746,0.94583,0.82091,0.47668,0.33551,0.79648,0.008614,0.008614,0.008614
142,2946.05,0.63561,0.38626,0.81111,0.94155,0.90648,0.94478,0.82065,0.47585,0.33681,0.79594,0.0086041,0.0086041,0.0086041
143,2966.75,0.64008,0.3866,0.81105,0.94265,0.90787,0.94699,0.82188,0.47655,0.33518,0.79552,0.0085942,0.0085942,0.0085942
144,2987.17,0.63928,0.38439,0.81128,0.94327,0.90467,0.94567,0.82139,0.47626,0.33488,0.79673,0.0085843,0.0085843,0.0085843
145,3007.63,0.63217,0.38616,0.81125,0.94378,0.90416,0.94518,0.82143,0.47263,0.33458,0.79611,0.0085744,0.0085744,0.0085744
146,3027.97,0.63399,0.38298,0.81048,0.94156,0.90599,0.94502,0.82008,0.47428,0.33446,0.79688,0.0085645,0.0085645,0.0085645
147,3049.24,0.63013,0.3821,0.81104,0.94366,0.90791,0.94519,0.8215,0.47065,0.33391,0.79579,0.0085546,0.0085546,0.0085546
148,3069.64,0.63058,0.38382,0.81033,0.94291,0.90717,0.94597,0.8208,0.47506,0.33453,0.79614,0.0085447,0.0085447,0.0085447
149,3090.28,0.63314,0.38309,0.81088,0.94366,0.90411,0.94584,0.82189,0.47353,0.33287,0.79545,0.0085348,0.0085348,0.0085348
150,3110.86,0.63372,0.38255,0.81137,0.94452,0.90451,0.94598,0.82249,0.47126,0.33221,0.79557,0.0085249,0.0085249,0.0085249
151,3131.41,0.62621,0.38229,0.81014,0.94403,0.90632,0.94594,0.81971,0.47891,0.33441,0.79643,0.008515,0.008515,0.008515
152,3151.99,0.63203,0.38241,0.81051,0.94165,0.90697,0.94537,0.82218,0.47102,0.33218,0.79536,0.0085051,0.0085051,0.0085051
153,3172.69,0.62724,0.38275,0.81045,0.94223,0.90603,0.94633,0.82284,0.46952,0.33207,0.79561,0.0084952,0.0084952,0.0084952
154,3193.52,0.63428,0.38433,0.81058,0.94413,0.90372,0.94511,0.82322,0.46875,0.33252,0.79497,0.0084853,0.0084853,0.0084853
155,3214.62,0.63222,0.37975,0.81024,0.94394,0.90477,0.94658,0.82448,0.46992,0.33157,0.79532,0.0084754,0.0084754,0.0084754
156,3235.08,0.62811,0.38094,0.80986,0.94534,0.90549,0.94642,0.8232,0.46846,0.3307,0.79508,0.0084655,0.0084655,0.0084655
157,3256.05,0.62808,0.38212,0.81024,0.94424,0.9039,0.94566,0.82201,0.47074,0.33144,0.7953,0.0084556,0.0084556,0.0084556
158,3276.74,0.62708,0.38142,0.81,0.94322,0.90559,0.94607,0.8225,0.46913,0.33023,0.79507,0.0084457,0.0084457,0.0084457
159,3297.22,0.63137,0.3853,0.8098,0.9438,0.90504,0.94586,0.8229,0.46903,0.331,0.79523,0.0084358,0.0084358,0.0084358
160,3318.07,0.6273,0.38005,0.81113,0.94664,0.90327,0.94628,0.82348,0.46962,0.33028,0.79556,0.0084259,0.0084259,0.0084259
161,3338.61,0.62517,0.37908,0.81001,0.94324,0.90536,0.94578,0.82411,0.4673,0.3304,0.79546,0.008416,0.008416,0.008416
162,3359.41,0.62793,0.38005,0.81003,0.9452,0.90359,0.94668,0.82412,0.46995,0.33026,0.79581,0.0084061,0.0084061,0.0084061
163,3380.1,0.62121,0.37843,0.8093,0.94618,0.90482,0.9464,0.82362,0.46701,0.33029,0.79494,0.0083962,0.0083962,0.0083962
164,3400.64,0.62142,0.37772,0.80977,0.94728,0.90389,0.94747,0.82498,0.467,0.32928,0.79516,0.0083863,0.0083863,0.0083863
165,3421.03,0.62522,0.38159,0.8098,0.94354,0.90654,0.94668,0.82504,0.46762,0.32978,0.79508,0.0083764,0.0083764,0.0083764
166,3441.43,0.62347,0.37768,0.80979,0.94492,0.90593,0.94762,0.82723,0.46367,0.32783,0.79479,0.0083665,0.0083665,0.0083665
167,3461.63,0.62581,0.38214,0.80971,0.94408,0.90736,0.94629,0.825,0.4666,0.33027,0.7946,0.0083566,0.0083566,0.0083566
168,3482.35,0.62185,0.37898,0.80927,0.9439,0.90822,0.94649,0.82439,0.46541,0.32811,0.79517,0.0083467,0.0083467,0.0083467
169,3503.44,0.6217,0.37856,0.80923,0.94788,0.9054,0.94738,0.82606,0.46485,0.3284,0.79493,0.0083368,0.0083368,0.0083368
170,3523.93,0.62562,0.38043,0.81078,0.94683,0.90736,0.94678,0.82556,0.46299,0.32719,0.79434,0.0083269,0.0083269,0.0083269
171,3544.8,0.61888,0.379,0.80911,0.94451,0.90981,0.94717,0.82516,0.46562,0.32677,0.79444,0.008317,0.008317,0.008317
172,3565.29,0.62418,0.38041,0.8097,0.94385,0.90907,0.94673,0.82529,0.46178,0.32672,0.79407,0.0083071,0.0083071,0.0083071
173,3586.06,0.62107,0.37683,0.80975,0.94346,0.90854,0.94747,0.82615,0.46154,0.32683,0.79461,0.0082972,0.0082972,0.0082972
174,3606.69,0.62145,0.37773,0.80917,0.94435,0.90694,0.94702,0.82434,0.46703,0.32831,0.79431,0.0082873,0.0082873,0.0082873
175,3627.59,0.6189,0.37541,0.80919,0.94515,0.90492,0.94654,0.82523,0.46287,0.3262,0.79436,0.0082774,0.0082774,0.0082774
176,3648.32,0.61605,0.37561,0.80887,0.94782,0.9034,0.9466,0.82495,0.46229,0.32614,0.79459,0.0082675,0.0082675,0.0082675
177,3668.88,0.60944,0.37349,0.80922,0.94154,0.90793,0.94613,0.8254,0.46173,0.32752,0.79404,0.0082576,0.0082576,0.0082576
178,3689.72,0.61668,0.37546,0.80929,0.94515,0.90621,0.94636,0.82566,0.46092,0.32602,0.79403,0.0082477,0.0082477,0.0082477
179,3710.52,0.61661,0.37644,0.80822,0.94091,0.90968,0.94681,0.82559,0.4612,0.32626,0.79371,0.0082378,0.0082378,0.0082378
180,3731.26,0.61769,0.37598,0.80865,0.94406,0.9084,0.94737,0.82668,0.46117,0.32488,0.79406,0.0082279,0.0082279,0.0082279
181,3751.87,0.61752,0.37468,0.80885,0.94567,0.90587,0.94682,0.82552,0.46481,0.32601,0.79461,0.008218,0.008218,0.008218
182,3772.14,0.61061,0.37321,0.80868,0.94434,0.90768,0.94646,0.82584,0.46051,0.32467,0.79417,0.0082081,0.0082081,0.0082081
