epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
76,9459.54,0.38408,0.27341,0.05945,0.95061,0.86804,0.9152,0.80697,0.276,0.26095,0.03612,9.2575e-05,9.2575e-05,9.2575e-05
77,9580,0.38875,0.27359,0.06061,0.9486,0.86926,0.91657,0.80938,0.26884,0.26139,0.03489,9.2476e-05,9.2476e-05,9.2476e-05
78,9701.08,0.38538,0.27276,0.05775,0.95001,0.86849,0.91535,0.80784,0.27546,0.26029,0.03709,9.2377e-05,9.2377e-05,9.2377e-05
79,9823.43,0.37913,0.27184,0.05936,0.94847,0.87102,0.9162,0.80974,0.27199,0.26028,0.03457,9.2278e-05,9.2278e-05,9.2278e-05
80,9948.15,0.37742,0.27365,0.055,0.95166,0.87052,0.91735,0.80839,0.27241,0.26126,0.03572,9.2179e-05,9.2179e-05,9.2179e-05
81,10071.6,0.37345,0.27306,0.05495,0.95183,0.86665,0.91635,0.81071,0.26996,0.25827,0.03645,9.208e-05,9.208e-05,9.208e-05
82,10196.7,0.37301,0.27337,0.05514,0.95317,0.87064,0.91821,0.81166,0.26566,0.25974,0.03536,9.1981e-05,9.1981e-05,9.1981e-05
83,10319.1,0.37665,0.27325,0.05607,0.95282,0.87043,0.91818,0.81193,0.26482,0.2605,0.03396,9.1882e-05,9.1882e-05,9.1882e-05
84,10441.8,0.37411,0.27319,0.05723,0.95162,0.87103,0.91755,0.81231,0.26791,0.25925,0.0338,9.1783e-05,9.1783e-05,9.1783e-05
85,10563.2,0.35947,0.27379,0.05064,0.95033,0.87502,0.91877,0.81485,0.26442,0.25801,0.0338,9.1684e-05,9.1684e-05,9.1684e-05
86,10684.8,0.3674,0.2714,0.05392,0.952,0.87372,0.91839,0.81442,0.2633,0.25843,0.03337,9.1585e-05,9.1585e-05,9.1585e-05
87,10807.1,0.36941,0.27239,0.05404,0.9521,0.87239,0.91877,0.81665,0.26118,0.25628,0.03109,9.1486e-05,9.1486e-05,9.1486e-05
88,10930.4,0.37285,0.27026,0.0565,0.95019,0.8761,0.919,0.81525,0.26248,0.25776,0.03333,9.1387e-05,9.1387e-05,9.1387e-05
89,11050.6,0.36149,0.2715,0.05147,0.95229,0.87735,0.91957,0.81697,0.26017,0.25621,0.03404,9.1288e-05,9.1288e-05,9.1288e-05
